directory,gender,category,cloth_id,file_name,cloth_fabric,cloth_type,clothes_color,image_id,masking_number,first_type,cloth_type_id,old_type_id,type_id
img,WOMEN,Tees_Tanks,id_00000434,01_1_front.jpg,acrylic,"top, cutoffs",Beige,SE0000465,2,acrylic,2,2,2
img,WOMEN,Cardigans,id_00002125,01_1_front.jpg,acrylic,cardigan,Charcoal,SE0002122,6,acrylic,6,2,2
img,WOMEN,Cardigans,id_00003576,02_1_front.jpg,acrylic,"sweater, cardigan",Cream-black,SE0003682,6,acrylic,6,2,2
img,WOMEN,Tees_Tanks,id_00003770,04_1_front.jpg,"acrylic, crochet","top, sleeveless",Cream,SE0003874,2,acrylic,2,2,2
img,WOMEN,Tees_Tanks,id_00003770,05_1_front.jpg,"acrylic, crochet","top, sleeveless",Taupe,SE0003875,2,acrylic,2,2,2
img,WOMEN,Tees_Tanks,id_00003770,06_1_front.jpg,"acrylic, crochet","top, sleeveless",Mustard,SE0003876,2,acrylic,2,2,2
img,WOMEN,Dresses,id_00000422,02_1_front.jpg,"chambray, lyocell",dress,Medium denim,SE0000452,5,chambray,5,17,
img,WOMEN,Blouses_Shirts,id_00001377,01_1_front.jpg,"chambray, lyocell, metallic",shirt,Denim,SE0001356,2,chambray,2,17,
img,WOMEN,Blouses_Shirts,id_00002052,01_1_front.jpg,"chambray, lyocell","dress, shorts, skirt, tank, skirts",Blue-ivory,SE0002029,2,chambray,2,17,
img,WOMEN,Blouses_Shirts,id_00002601,02_1_front.jpg,"chambray, lyocell","shirt, mini",Light denim,SE0002663,2,chambray,2,17,
img,WOMEN,Blouses_Shirts,id_00002676,02_1_front.jpg,"chambray, lyocell",top,Denim washed,SE0002721,2,chambray,2,17,
img,WOMEN,Blouses_Shirts,id_00002763,01_1_front.jpg,"chambray, lyocell","cami, jeans",Medium denim,SE0002803,2,chambray,2,17,
img,WOMEN,Blouses_Shirts,id_00002763,02_1_front.jpg,"chambray, lyocell","cami, jeans",Denim,SE0002804,2,chambray,2,17,
img,WOMEN,Blouses_Shirts,id_00003217,01_1_front.jpg,"chambray, lyocell",tank,Light denim,SE0003228,2,chambray,2,17,
img,WOMEN,Blouses_Shirts,id_00003328,01_1_front.jpg,"chambray, lyocell","top, sleeveless, shirt",Denim-grey,SE0003339,2,chambray,2,17,
img,WOMEN,Blouses_Shirts,id_00003952,01_1_front.jpg,"chambray, lyocell","long-sleeved, shirt",Denim-ivory,SE0004018,2,chambray,2,17,
